label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit;left2_pxcount;left2_fruitcount;left2_maxfruit;left2_minfruit;right2_pxcount;right2_fruitcount;right2_maxfruit;right2_minfruit
13;23969666;13;50221;10914;31432761;14;81955;0;24564103;10;75268;2916
13;23680308;13;46295;12729;27002931;9;89363;781;25405063;11;43625;2430
13;26277933;14;49142;182;31394630;10;72706;754;30842942;11;89101;0
13;27134936;14;49991;828;35445924;9;81675;4090;25761254;11;70434;0
13;24309122;13;44892;12996;26305359;12;79773;0;27503350;11;49429;2755
13;24162330;13;43869;9384;29750049;11;79941;2132;23113370;12;53138;337
13;24404939;13;49673;10488;30229530;11;98406;35;24442595;12;42538;4001
13;24402383;13;37419;10434;29924197;11;101659;424;22045085;11;55778;0
13;27115485;11;51203;16959;34892675;13;77881;0;27542932;12;48324;0
13;29179385;12;52766;16221;27040289;10;69528;5184;29232657;14;63145;31
13;25564595;13;34033;11468;29081841;7;77142;4757;31624398;9;54859;22988
13;23829791;13;48297;5650;28173471;6;101275;2297;24730452;12;50600;11
13;23376849;13;50050;2420;25824611;10;104871;0;21884126;9;71771;326
13;27915666;13;39072;13567;31691082;11;61076;1859;28203902;11;54229;30
13;26539974;13;41726;13141;29845206;9;69051;10135;25327965;10;63855;1963
13;26672678;13;46620;17257;30348569;11;64459;143;25938139;14;58732;200
14;26545708;15;42097;156;28561878;8;113218;3553;25867857;13;87428;125
14;29874908;14;46713;15033;34426344;12;85236;4050;28545995;11;61153;1893
14;26593700;15;43738;605;26805909;10;77587;2528;26218847;10;90068;1012
14;28250050;12;47788;176;31882757;11;79484;2117;31820153;11;65496;0
14;29050365;14;42145;14295;29849053;13;72069;0;29569896;15;53019;0
14;28654851;14;36176;13449;30744895;11;73589;2929;29377309;10;62303;9
14;27199088;14;40399;11112;25891654;10;68096;10;25725308;13;60438;0
14;29805575;13;55744;11190;33639672;11;80594;268;27287719;11;90641;0
14;28085410;15;44110;76;33223838;11;75087;2;29371565;13;93321;0
14;26328979;11;61934;15267;32078598;11;64382;0;23763278;10;67159;562
14;29159374;14;34217;7517;32659009;13;59709;35;26666865;11;57757;1
14;30667811;14;50435;16485;35243105;10;89587;1540;26215021;13;57905;0
14;30512589;14;46825;14362;37189475;12;70630;7;24337881;12;57918;0
14;24854435;14;44060;4766;27883422;10;80228;1480;30573709;14;53685;0
14;29879578;14;55462;131;32783782;9;75087;530;28120036;7;110579;12082
14;28148234;14;33082;13646;33452676;9;72370;3199;25053450;9;49702;1934
14;25585368;14;43637;7082;35861096;12;81584;59;25563518;13;60504;0
14;28265395;13;56544;14510;38379867;13;78344;0;25979672;10;71773;0
14;26057174;14;47400;9794;24160145;10;52252;105;29048902;11;62153;0
14;26333976;13;38256;11545;32367292;6;116584;7662;34714905;9;176986;0
14;28285707;16;43211;0;31924980;9;78822;175;26613581;10;60453;6492
14;29518354;13;59010;14551;29239629;9;70570;2798;30119759;11;55471;411
14;28722918;13;50063;13951;29081656;10;93223;7;32486229;14;61945;0
14;25749506;14;49093;8194;31120572;9;148749;14;23687850;13;40715;102
14;28321558;13;50258;17357;31711054;13;60920;768;31184613;9;65180;8357
14;25469421;14;41570;9901;32953195;13;63275;87;22454636;10;51433;1431
14;26715628;14;40202;13995;29401458;13;68226;865;27154331;12;66866;1094
14;26028295;14;48777;9726;28995587;12;66085;0;25612685;11;52320;3039
14;26253134;14;45241;11400;32424915;14;89494;0;24868660;10;46749;1542
14;26460408;12;60777;12949;31469590;11;59376;40;28859310;7;59271;16634
14;25387363;14;49119;9502;31836787;13;97828;0;22906297;12;39083;0
14;29494998;16;36877;229;33350578;11;99954;706;27898578;10;90533;2870
14;28311125;15;33322;59;34880008;13;69991;40;29183825;10;71199;77
14;25326166;14;41871;2371;23993103;6;103025;14524;30430557;12;77179;0
14;25348078;14;42101;12271;34382012;12;52020;476;25723436;10;73474;2637
14;27120648;14;65582;0;33879725;12;71747;1422;24262051;10;51651;3400
14;29129868;14;44834;9064;28838804;9;69573;1;31886265;10;103897;302
14;29132757;15;47341;4;34041025;11;86616;0;29770029;12;73834;0
14;27822607;14;34854;12314;31450951;8;82682;9827;27957696;10;89396;5156
14;29412993;13;62301;10941;29394069;9;79587;0;27744703;8;94119;2258
15;30765042;15;44748;1572;38733491;10;117560;0;29236890;9;66058;4195
