label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit
20;34694119;20;41239;4
20;32936067;17;54025;224
20;31878370;22;63914;7
20;34832754;18;42300;45
21;35763622;16;64390;106
21;36996825;22;44328;0
21;34497573;15;111245;158
21;32846966;17;80198;0
21;31035272;20;66140;4
21;35399333;21;51244;4
21;33894014;23;64809;7
21;33331440;20;67543;4
21;33690524;18;89386;5
21;36641343;25;55747;28
21;33625877;22;50103;7
21;35552663;26;57928;23
21;36807856;22;59678;57
21;35372376;20;70283;103
21;34360815;21;57322;0
21;33092277;16;66925;4
21;34882611;17;84024;75
21;32402550;19;84701;72
21;35922921;19;66960;22
21;32113729;12;100907;19
21;34055970;21;71011;58
21;33210343;20;45674;0
21;32037682;16;84996;25
21;37169000;14;148980;54
21;37204659;19;58869;0
21;34591174;19;65663;79
21;36478840;19;58666;2
21;35919465;21;54448;0
21;33639271;18;74810;48
21;33914184;23;55325;6
21;37010297;23;40715;64
21;33035149;18;54071;12
21;37408677;22;58767;39
21;34116872;21;36756;283
21;32542402;18;51102;206
21;30974424;12;78235;133
21;32641672;16;68248;0
21;36449938;18;45752;4
21;31331975;21;90719;2
21;33557551;23;63942;84
22;35692072;15;68585;27
22;34780283;21;52286;26
22;35853730;19;67226;4
22;34157243;18;88140;35
22;32931771;12;84211;278
22;34852276;19;41206;48
22;37856534;21;79288;17
22;37101211;28;91495;0
22;35142265;18;63652;46
22;33415468;22;70424;10
22;33425469;17;53681;113
22;35814699;17;123845;33
22;34954124;16;53301;1410
22;34273129;15;87501;13
22;34576854;17;57984;27
22;35849950;23;38721;0
22;36619362;28;60514;2
22;37187275;21;101595;48
22;34266255;23;69410;72
22;33421705;21;61011;7
22;36821758;21;39443;21
22;37312213;21;42057;58
22;37637272;21;81016;5
22;37105576;22;46593;67
22;34088527;21;55226;2
22;34079237;21;74040;97
22;33280893;19;74637;149
22;35191786;18;76498;59
22;35168233;22;52633;106
22;33952564;16;63241;46
22;33688125;19;53918;22
22;34965932;18;45591;46
22;36584756;20;54427;75
22;36047429;23;63345;2
